name|vnum|limit_factor|limit
the shimmering blue mace, 'M'aakor'|17077|1|1
the curved saber of Envarinon|17078|1|1
a gleaming iron belt|17080|11|11
a pair of fine leather boots|17081|11|11
a shield of jagged ice|17082|1|1
a pair of white steel gauntlets|17083|5|5
a pair of gloves woven from blades of grass|17084|5|5
a shining bronze helm|17085|11|11
the Staff of Vysara|17087|1|1
a cloak spun from gossamer strands|17088|1|1
the chestplate of Amiraiya|17089|1|1
a gauntlet forged of the shadows|17090|1|1
an ornate crested helmet|17091|1|1
an enchanted chainmail shirt|17096|9|9
a pair of sapphire dragonscale leggings|17097|40|40
a pair of blue dragonscale gauntlets|17098|40|40
a pair of soft leather boots|17099|30|30
a thin pearl breastplate|17103|400|400
a pair of shimmering white gloves|17104|400|400
a pair of pearl-plated leggings|17105|400|400
a pair of pearl-plated armguards|17106|400|400
a sleek, gold-trimmed helmet|17107|400|400
a pair of gold-trimmed boots|17108|400|400
a silvery blue cape|17109|20|20
a light ash javelin chased with silver|17110|1|1
a ring of sunlight|17111|9|9
an opal amulet|17112|9|9
a bracelet of pure silver|17113|9|9
the Staff of Spirit|17114|1|1
the shortsword of Envarinon|17116|1|1
a black ring set with a living flame|17117|1|1
a flawless disc of ch'lonin|17118|1|1
a tetrahedron of pure light|17119|1|1
a broken, rose-colored sphere|17120|1|1
a crystalline teardrop|17121|1|1
a white fur cloak|17123|400|400
a Kor Thrandian shield|17124|400|400
a pure white blade|17125|20|20
a pair of scaled boots|17126|400|400
a tough scalemail shirt|17127|400|400
a pair of scalemail sleeves|17128|400|400
a skirt of tough scalemail|17129|400|400
a polished breastplate|17130|400|400
a whip of golden light|17131|20|20
a keen-edged knife|17136|400|400
a sleek steel sword|17137|12|12
a ghara-skin whip|17140|4|4
a glistening double-bladed axe, "M'aalir"|17141|1|1
a shining steel halberd|17142|2|2
a smooth white longbow|17143|1|1
a white-bladed saber|17144|1|1
an old stone fountain|17145|1|1
the monument|17146|1|1
a shield of unreflective black iron|17147|1|1
a double-bladed battleaxe, wreathed in black flames|17148|1|1
a well-crafted guitar on a sling|17149|100|100
the Robe of Ages|17163|2|2
a silken black hood|17170|3|3
a dagger inset with a single sapphire|17171|1|1
a saber shaped from living wood|17175|5|5
a thin clay tablet|17176|2|2
a thin steel sword|17184|40|40
a pillar of flame|18001|1|1
an angrily-spiked flail|18002|5|5
a crude spear|18003|5|5
a braided leather whip|18004|5|5
a ball of flame|18006|1|1
a dented yet shiny ruby ring|18008|3|3
a fine steel bracer|18009|3|3
a tattered black cloak|18010|5|5
a travelling soldier's helm|18011|4|4
a leather belt engraved with the symbol of Krilin|18012|5|5
a sturdy wood bow|18013|10|10
a pair of heavy granite gloves|18014|3|3
a set of dull red wing-blades|18015|1|1
a pile of hay|18016|5|5
a dented iron ring|18018|10|10
an ephemeral key|18019|3|3
a fissure in the wall|18020|1|1
a slightly scorched golden bracer|18021|2|2
a pile of golden coins|18022|1|1
a ring of keys|18023|10|10
a dented iron cap|18024|10|10
a thin, worn dagger|18030|10|10
a pair of battered leather gloves|18031|10|10
a long, sharp silver glaive|18032|2|2
a thick woolen cape|18033|5|5
a pair of leather sandals|18034|10|10
a pool of whitish-green pus|18056|1|1
a pulsing black staff|18057|1|1
a thick whaleskin cloak|18061|1|1
a jagged whalebone dagger|18062|1|1
a jagged, deformed archon bone|18064|1|1
a jagged, deformed archon bone|18065|1|1
the Spear of the Anointed General|18066|10|10
a faded pilgrim's robe|18070|1|1
a trickle of foul, blackened water|18071|1|1
a golden necklace, inset with a ruby strawberry|18075|1|1
a beautiful diamond ring, made of woven platinum and gold|18101|1|1
a black swampwood bow, strung with a thin string of gut|18102|1|1
a mysterious black sapphire|18301|5|5
an orange six-rayed starfish|18308|12|12
a bunch of yellow primroses|18309|12|12
a large iridescent pearl|18310|1|1
an uprooted tree|18311|1|1
a waterproof pack|18313|7|7
a flask emblazoned with the image of a naked siren|18314|7|7
a small trickle of water|18316|1|1
the hard green shell of a large turtle|18319|10|10
the hard green shell of the eldest turtle|18320|5|5
the jaws of a hammerhead shark|18321|6|6
a jagged black tentacle of the Chayrin|18322|2|2
the Ring of Twilight|18351|2|2
a stone shelf with swirling veins of jade|18602|1|1
a green marble bench|18603|2|2
a granite public fountain|18604|1|1
the deadly silver hammer|18605|1|1
the silver suit of armor with midnight black trim|18606|1|1
a wide steel belt with an anvil-shaped buckle|18607|1|1
a suit of midnight black armor, trimmed with silver|18608|1|1
a black steel belt with a hammer-shaped buckle|18609|1|1
a helmet with dual white-gold wing visors|18610|1|1
the black scimitar with a ruby hilt called "Tetswaijin"|18611|1|1
the white scimitar with a sapphire hilt called "Tetsana"|18612|1|1
a sharp-edged steel halberd|18614|1|1
a gold pendant bearing the symbol of Dolgrael|18618|4|4
the Stone of Power (test)|18619|10|10
the left half of the meteor rock|18621|1|1
the right half of the meteor rock|18622|1|1
a red marble pillar|18624|1|1
a staff of entwined silver and black steel|18625|1|1
a silver fountain|18628|1|1
a monolith of mei'tzec|18629|1|1
a soft pair of black leather gloves|18630|1|1
an encompassing gray cloak made of silk|18631|1|1
an emerald broach framed in polished white-gold|18632|1|1
a finely tailored pair of elegant black pants|18633|1|1
a pair of military-style leather brown boots|18634|1|1
a mei'tzec plaque of entrance|18651|8|8
a mei'tzec plaque of entrance|18654|1|1
a mei'tzec plaque of entrance|18655|1|1
a mei'tzec plaque of entrance|18656|1|1
a mei'tzec plaque of entrance|18657|1|1
a mei'tzec plaque of entrance|18658|1|1
a mei'tzec plaque of entrance|18659|1|1
a mei'tzec plaque of entrance|18660|8|8
a band of mei'tzec carved with a rune of Earth|18666|1|1
a finely polished mei'tzec-rimmed monocle|18668|1|1
the mei'tzec spear known as "Wraith"|18669|1|1
a longsword called "The Bandit's Blade"|18999|4|4
the Mantle of the Eagle|19017|1|1
a cape of Gaald|19018|40|40
the Amulet of the Eagle|19019|15|15
the ancient longsword, 'Caien'mar'|19020|1|1
a shimmering white gown|19021|20|20
a necklace of the Eagle|19022|4|4
the Dagger of the Seas|19023|15|15
a shard of the Seas|19024|18|18
a spiked steel battleaxe|19038|2|2
a barrel of fish|19052|2|2
a keg of ale|19053|2|2
a crate of fish|19054|2|2
a large wooden box of cloth|19055|2|2
a pair of stone gauntlets|19088|13|13
a spiked ironwood club|19122|15|15
a long steel dueling blade|19124|30|30
a barbed whip of poisons|19126|30|30
the sword of the Inner Flames|19137|15|15
the sword of the Outer Flames|19138|25|25
a long silver saber|19150|20|20
a slab of cooked meat|19154|60|60
a short silver blade|19173|50|50
the Murasabie Edge|19500|1|1
a bracelet of thorns|19501|80|80
a pair of green leather boots|19504|1|1
an oaken longbow|19505|8|8
a handful of spores|19507|3|3
a necklace of carved leaves|19509|35|35
a grass mantlet|19510|30|30
a thorn-tipped staff|19511|5|5
a twisted branch of living wood|19512|3|3
a treasure-studded cudgel|19514|80|80
a coin studded shield|19515|100|100
a dirty silk headband|19519|50|50
a worn ornate dagger|19520|120|120
the thick hide of a grizzly bear|19521|25|25
a tarnished silver ring|19526|150|150
an emerald dragonscale helmet|19527|200|200
a suit of emerald dragonscale armor|19528|200|200
an emerald dragonscale shield|19529|200|200
a set of emerald dragonscale sleeves|19530|200|200
a pair of emerald dragonscale boots|19531|200|200
a tarnished cookpot|19532|1|1
an ivory hunting bow|19534|40|40
an obsidian hilted dagger with a blade of pure void|19535|1|1
the Cloak of Penguinkind|19536|1|1
a flaming red arrow|19538|120|120
a barbed arrow tipped with poison|19539|120|120
a black-tipped arrow|19540|100|100
a wreath of mistletoe|19549|25|25
a thick staff of ash|19550|25|25
a thin steel band|19552|90|90
a maradriha nut|19553|1|1
a blouse of billowy black silk|19557|1|1
some leggings of billowy black silk|19558|1|1
an elegantly curved blade, 'Ilae Aeras'|19559|1|1
a necklace of black-specked pearls|19560|1|1
a shirt of black-plated silk|19565|100|100
a long black cloak decorated with the Vhenerin Web|19574|20|20
a pair of delicate midnight gloves trimmed in white fur|19575|30|30
a bladed flail|19576|1000|1000
a staff of shining sapphire|19579|1|1
a set of dull black robes|19580|1|1
a black gauntlet forged of shadow|19581|1|1
a gold band inset with a sapphire|19584|1|1
a black ironwood staff banded with gold|19587|1|1
a long halberd encrusted with fungal growth|19597|15|15
the cruelly barbed longsword, 'Ijject Jjita'|19601|1000|1000
an obsidian circlet|19604|1|1
a woven mantle of pine needles|19609|3|3
a pitted, bleached staff|19610|1|1
a blade of shining crystal, "Celendil"|19611|1|1
a razor-sharp blade of fused glass|19612|10000|10000
a cruel lash of glass-studded sand|19613|2|2
a fused glass bracer|19614|20|20
a thick, reptilian hide|20304|20|20
a large, sturdy bow|20310|20|20
a huge, stone-studded club|20311|20|20
an ebony-tipped staff of dark ironwood|20314|25|25
a set of dark robes|20315|150|150
a dark scroll|20316|2|2
a steel headed halberd with an ironwood shaft|20317|200|200
a runed flail of dark steel|20318|70|70
a dull iron shield|20319|200|200
a dark iron sword with an ebony hilt|20322|60|60
an ebony-hafted iron axe|20323|60|60
a shield of reflective black steel|20324|100|100
a shirt of dirty hides|20330|50|50
a pair of leggings made from dirty hides|20331|50|50
a chainmail shoulder guard|20338|40|40
a stained blue wand|20340|20|20
a spined srorsian-bone club|20346|60|60
a tunic of shed lizard skin|20347|200|200
a scroll of shed lizard hide|20352|10000|10000
a sooty arrow|20354|20|20
a pile of faintly glowing ash|20356|1|1
a crimson phoenix feather|20357|1|1
a finely-crafted roll of tekka maki|21900|10|10
the boots of EYG|21901|1|1
a grease-stained apron|21903|15|15
a woman's wedding ring, inset with a chip of diamond|21904|8|8
a man's wedding ring, inset with a chip of diamond|21905|8|8
a well-worn pair of overalls|21906|10|10
a thick brown helmet, made of fish scales|21916|5|5
a thick brown breastplate made of fish scales|21917|5|5
the tooth of the Jiast'ja|21918|3|3
a thick wooden club|21927|10|10
a sturdy wooden hunting bow|21931|10|10
a leather dog collar|21932|4|4
a sign|21940|1|1
a brown cloak with a leaf-shaped clasp|21941|3|3
a defaced Salyra signet pendant|21942|2|2
a cup of steaming-hot tea|21943|1000|1000
a slice of fresh wheat bread|21944|1000|1000
a paste-covered mushroom cap|21945|1000|1000
a mushy piece of bark|21946|1000|1000
a wooden fountain|21948|1|1
a dirty pair of overalls|21949|9|9
a leather bracer engraved with a fish|21950|10|10
a dumpy grey skirt|21951|9|9
a ratty brown doublet|21954|10|10
a gnarled staff of maple|21958|7|7
a pair of intricately-styled leather boots|21960|1|1
a pair of silver pasties|21961|1|1
a set of flowing silver robes|21966|1|1
a white silk cape clasped with silver|21971|1|1
a gleaming silver dual-pronged trident|21972|1|1
a nightshade flower|21977|1|1
a multicoloured spray of feathers|21978|1|1
the mace of Thanys|21985|1|1
a pair of large, feathered wings|21986|1|1
a wickedly jagged serpent-shaped sword|21987|1|1
a black swampwood bow, strung with a thin string of gut|21988|1|1
a chestplate of tightly-woven plants, emblazoned with a bright tartan|21990|1|1
a set of silky black robes|21991|1|1
a staff of humming void energy|21992|1|1
a long, thin blade of lightning|21996|1|1
a long, sinewy whip of shadowstuff|21997|1|1
a chunk of blackened stone|21998|1|1
a golden scale|22051|1|1
a sturdy cot|22059|3|3
the desk|22065|3|3
a sturdy cot|22068|3|3
a large brass key|22076|2|2
a wooden bench|22077|1|1
the chair of the knight lord|22078|1|1
a wooden table|22079|1|1
a runed steel broadsword|22088|4|4
a runed steel warhammer|22089|4|4
a runed steel battleaxe|22090|4|4
a runed oak staff|22091|4|4
a runed steel dagger|22092|4|4
a grey tabard emblazoned with the Scale of Orlin|22093|9|9
a wide tome marked with the Eye of Enirra|22096|1|1
a padded sword|22097|100|100
the Standard of Balance|22098|1|1
a shining lightning sword|22201|3|3
the leather cape of a griffinrider|22202|5|5
a ring inscribed with a feather|22203|1|1
the claw of an ancient griffin|22204|3|3
a pendant shaped into a lightning bolt|22205|5|5
a griffinrider's leather gloves|22206|5|5
a pair of leather griffinrider's sleeves|22207|10|10
a leaping statue of a seraph|22208|1|1
the Ring of the Breezes|22209|1|1
a wrought-gold seraph amulet|22215|1|1
a wooden holy symbol of Jolinn|22263|50|50
a gold ring, crested with the sigil of the Merchant's Council|22275|1|1
a leather thong strung with teeth|22278|30|30
a silver pendant, inset with an aquamarine|22281|3|3
a fine silver longsword engraved with a rose|22453|2|2
a gleaming silver breastplate|22454|1|1
a visored silver helmet|22455|1|1
gleaming silver gauntlets|22461|1|1
the Ring of Winter|22480|1|1
a fine silver chain with a sapphire pendant|22482|1|1
delete me please|22489|2|2
a finely-worked leather scabbard|22495|1|1
a black longsword inscribed with blue runes|22501|15|15
a black amulet with glowing blue runes|22502|1|1
a black steel signet ring|22503|1|1
a black halberd inscribed with blue runes|22504|15|15
a black breastplate inscribed with blue runes|22505|20|20
black leggings inscribed with blue runes|22506|20|20
the shell of the swamp turtle|22507|10|10
the tooth of a cave worm|22508|2|2
the rock pile|22510|1|1
a small ring of quartz|22511|80|80
black armguards inscribed with blue runes|22512|20|20
a black helmet inscribed with blue runes|22513|20|20
black boots inscribed with blue runes|22514|20|20
a deeply cowled robe|22515|5|5
a black spear inscribed with blue runes|22516|15|15
a black longsword inscribed with blue runes|22520|8|8
a black spear inscribed with blue runes|22521|10|10
a black halberd inscribed with blue runes|22522|10|10
a darkened staff of thorny wood|22526|4|4
a dark vest of woven wood|22527|1|1
a pendant of Lunus|22528|20|20
the ancient black sword, 'Grael-Ayer'|22529|1|1
a belt woven from sturdy leaves|22530|8|8
a slender bracelet of black steel|22531|4|4
a small plate of marble|22533|10|10
a clay staff carved with runes|22537|4|4
a steel-handled basalt wand|22538|1|1
an obsidian staff inset with a diamond|22539|1|1
a black mantle inscribed with blue runes|22540|5|5
the top of a crumbling basalt obelisk|22559|1|1
a shaft of blazing white light|22560|1|1
a black tabard sewn with blue runes|22561|20|20
an engraved obsidian ring|22562|80|80
an old arcane scroll|22563|750|750
a fibrous ring of plague-eating|22568|40|40
a festering ironwood halberd|22569|35|35
a silvery bracer of pain-drinking|22571|1|1
a long diamond prism|22572|3|3
a ball of blue-streaked obsidian|22573|15|15
a blue-banded rowan staff|22578|30|30
a white band of interlinked marble tiles|22580|1|1
a small plate of marble|22581|10|10
a small plate of marble|22582|10|10
a cracked, pyramidical statuette of basalt|22587|1|1
a heavy basalt monstrance|22592|1|1
a sword forged by Arenhamuur|22599|2|2
a shadowy dagger|22609|2|2
the Shaft of Adumbration|22612|1|1
the Diamond of Focusing|22614|1|1
a sapphire of power|22615|1|1
a ruby of power|22616|1|1
a platinum amulet shaped as a dove|22654|1|1
a ring formed from bands of energy|22668|1|1
a ring formed from thin bands of energy|22669|1|1
a pair of thick-soled leather boots|22671|4|4
a set of dented razor-edged greaves|22673|4|4
a cloak bearing the Tarnan crest|22679|2|2
a bassinet formed from shadow|22682|1|1
a breastplate formed from shadow|22683|1|1
a shield formed from shadow|22684|1|1
a sturdy steel gorget|22685|3|3
a pair of steel spaulders|22686|3|3
the upper jaws of a chateira warrior|22688|6|6
the lower jaws of a chateira warrior|22689|3|3
a korakk tentacle|22690|3|3
a thick brown staff|22694|2|2
a scroll of thin parchment|22696|3|3
a thin red wand|22697|2|2
a mangled Salyran cloak|22698|4|4
a pair of strangely-marked boots|22716|1|1
a delicate belt woven from gold fibers|22718|1|1
a delicate belt fashioned from platinum links|22719|2|2
a shimmering, intricately-detailed sword hilt|22721|1|1
a shadow-trimmed rapier|22722|2|2
a rune-covered shadow shield|22723|1|1
a shimmering, intricately-detailed sword|22724|1|1
a bracer wrought of pure darkness|22725|2|2
a sparkling clear potion|22726|5|5
a dirk fashioned from ch'lonin|22727|1|1
a long staff of alabaster|22728|1|1
the flickering longsword, "Nightmare"|22733|1|1
a thick leather shirt|22881|3|3
some padded leather pants|22882|3|3
a beaten gold ring bearing the Rissilae crest|22892|2|2
a hip flask made of tin|22894|1|1
a thin metal key|22905|1|1
a glowing red potion|22910|20|20
a viscous blue potion|22911|20|20
a brilliant pearlescent potion|22912|20|20
a clotted grey potion|22913|20|20
one of the angled stone benches|22914|3|3
a heavy white laboratory smock|22918|35|35
a staff of gleaming diamond|22922|1|1
a heavy pewter plate|22932|200|200
a heavy pewter tankard|22934|200|200
an ornate wooden pedestal|23001|1|1
a sea-blue opal|23002|1|1
a small smoky-colored sphere|23005|1|1
a small slate tablet|23009|10|10
a bamboo vial|23018|5|5
a two-bladed Yithoul dagger|23019|20|20
the shinbone of an ethron|23021|10|10
a well-balanced sword|23036|20|20
a staff tipped with eyes of crystal|23037|20|20
a cinnabar staff|23038|10|10
a tearstone dirk|23044|15|15
a pair of high-laced leather sandals|23045|5|5
a windchime of diamonds|23046|15|15
an ice-edged claymore|23048|2|2
a helmet with a barred visor|23049|20|20
a white belidiss leaf|23051|10|10
a crystal goblet|23052|5|5
a worn ivory ring|23055|60|60
a black and white sash|23056|12|12
granite plate leggings|23057|50|50
granite plate boots|23058|50|50
a granite plate coat|23059|50|50
granite plate sleeves|23060|50|50
a granite plate helmet|23061|50|50
granite plate gauntlets|23062|50|50
a granite plate bracer|23063|5|5
a spiked nefortean toe ringlet|23073|5|5
a barbed black ankle bracelet|23074|5|5
a wristband spiked with drake fangs|23075|5|5
a spiked nefortean finger ringlet|23076|5|5
a fire-opal nose stud|23077|5|5
a high-backed chair|23081|1|1
a musk drain tentacle|23082|5|5
a string of granite drake talons|23088|3|3
a black crescent-moon sword|23089|3|3
a quarterstaff of mist|23094|3|3
boots of mist|23095|5|5
a tortoise shell|23096|10|10
a pair of drake-hide gloves|23124|10|10
a black crescent-moon dagger|23125|1|1
the rusted remains of an elegant longsword|23131|1|1
a rusted iron key|23137|1|1
a spiked ruby earring|23146|3|3
a buoyant, magically floating hammock|23147|1|1
a tiny floating dirk|23149|1|1
a pair of glittering golden wingblades|23150|1|1
a robe of mist|23156|5|5
a black chain whip tipped with embers|23159|3|3
a pair of small granite hoop earrings|23162|5|5
a quarterstaff of smoke and flame|23164|3|3
a vial filled with viscous grey liquid|23168|10|10
a vial filled with bubbling black liquid|23169|10|10
a vial filled with fizzing red liquid|23170|10|10
a vial filled with noxious yellow sludge|23171|10|10
a well-crafted nefortean kilij|23174|400|400
a well-crafted nefortean kukri|23175|400|400
a well-crafted nefortean zagaya|23176|400|400
a well-crafted nefortean jujiban|23177|400|400
a plain nefortean kilij|23178|400|400
a plain nefortean kukri|23179|400|400
a plain nefortean zagaya|23180|400|400
a plain nefortean jujiban|23181|400|400
a sturdy pine chest|23191|1|1
a worn, wooden sign|23701|1|1
a pair of leather griffinrider's greaves|23732|40|40
the leather jerkin of a griffinrider|23733|40|40
an engraved silver scrollcase|23752|3|3
a tiger-eye bracelet|23759|5|5
an oddly-ciphered text|23766|1|1
a map of the port of the Earendam|23799|1|1
a deer carcass|24005|1|1
some rotting entrails|24006|1|1
a finger-bone|24008|4|4
a red button|24010|20|20
a wooden rolling pin|24014|10|10
a cracked srryn skull|24017|1|1
a shadowy tabard|24018|1|1
a shadowy flail|24025|1|1
a broad-leafed plant|24028|1|1
a small green bottle|24051|12|12
the scourge of Ver|24082|1|1
the heartstone of Xichev'Drologh|24095|1|1
a vial of black powder|24097|1|1
none|24100|1|1
a low counter|24129|1|1
a small two-masted ship|24151|1|1
the mizzenmast|24152|1|1
the mainmast|24153|1|1
the tiller|24154|1|1
a runed kopesh, 'Lrili Jiajmi'|24200|1|1
a rune-inscribed greataxe|24203|1|1
a heavy mace of brown-tinted steel|24206|1|1
a pair of loose, sand-colored leggings|24207|250|250
a loose, sand-colored shirt|24208|250|250
a necklace of bark with a small stone hung upon it|24209|1|1
a short bow decorated with bone|24211|150|150
a wooden spear tipped with bone|24212|40|40
a silver and gold bracelet|24214|20|20
a beaten silver ring set with an opal|24216|1|1
a long wooden shepherd's crook|24220|10|10
a bit of maraissi grass|24221|15|15
a set of diamond and emerald earrings|24224|1|1
a light brown robe|24234|60|60
a rabbit-bone necklace|24235|100|100
a loose vest of chainmail|24236|30|30
a dagger decorated with yellow topaz|24237|18|18
an emerald-edged longsword, 'Everlag'|24250|1|1
a pair of bone-woven leather sleeves|24257|70|70
a tightly wrapped length of white silk|24264|20|20
a gaily tassled rapier|24265|1|1
a pair of poofy crimson pantaloons|24266|20|20
a billowy crimson shirt|24267|20|20
a pair of supple black leather gloves|24270|50|50
a wide brimmed black hat|24271|30|30
a tall bookshelf|24273|1|1
a bolt of canvas cloth|24274|1|1
a wooden crate|24275|1|1
a barrel|24276|1|1
a roll of brown cloth|24280|1|1
a broken get all corpse|24282|1|1
a basilisk-fang dagger|24284|5|5
a basilisk-hide cuirass|24285|25|25
the petrified eye of the basilisk|24286|2|2
a decorated chestplate|24289|250|250
a steel ring set with a sapphire|24296|250|250
a frothy blue potion|24301|100|100
a cruel lash of glass-studded sand|24302|2|2
a fused glass bracer|24303|5|5
an oddly-ciphered text|24304|1|1
a bone-hafted axe|24656|4|4
a bladed lead bracer|24657|6|6
a lovingly polished wooden lute|24669|40|40
the humble white staff, "Peace"|24671|1|1
a pair of root-entwined boots|24672|2|2
a tarnished silver amulet with an eye etched in gold|24686|1|1
a heavy brass sceptre|24690|20|20
a voluminous purple scholars robe|24691|20|20
a scroll of warriors bane|24693|1|1
a red clay wand|24698|2|2
the boots of Priensec|24700|1|1
a spectral belt|24706|100|100
a ghostly spear|24707|20|20
a painted blue wand|24714|100|100
a belt of twined roots|24723|200|200
a clean gray robe|24726|300|300
a wrinkled black cape|24727|300|300
a silver breastplate with black inlays|24730|5|5
a pair of thick steel armguards|24733|100|100
a parchment journal|25222|3|3
the tiny coral crown of a sea sprite|25225|2|2
the tiny sword of a sea sprite|25226|5|5
the tiny spear of a sea sprite|25227|4|4
the Cirroh|25228|1|1
the black spiked mace, "Coraarhur"|25236|1|1
a sy'ceeran warder's longsword|25237|200|200
a sy'ceeran warder's spear|25238|10|10
a sy'ceeran warder's shield|25239|200|200
a sy'ceeran warder's cloak|25241|200|200
a sy'ceeran warder's halberd|25242|200|200
a sy'ceeran warder's breastplate|25243|200|200
a ring of silver oak|25245|5|5
a silver amulet marked with a shield|25248|3|3
a long-necked vial of swirling liquid|25256|30|30
a runed bronze ring|25258|1|1
a ruby prism|25266|1|1
a scalemail coat of glittering aquamarine|25270|1|1
a talon of the aquamarine sea-dragon|25271|3|3
a scalemail coif of glittering aquamarine|25272|1|1
a faded map|25281|1|1
an electrum-plated battlehammer|25283|1|1
a piece of crystal coral|25287|1|1
a demon-faced iron buckler|25298|5|5
a helm ringed in black iron horns|25299|5|5
a fang-spiked dragonbone flail|25300|3|3
a black scroll with silver runes|25301|1|1
a ring of braided copper|25302|5|5
a polished iron truncheon|25303|3|3
a pair of worn leather trousers|25304|5|5
a black belt with a red garnet buckle|25306|3|3
an ebony-pommeled scimitar|25307|3|3
the Arafia|25312|1|1
a serrated silver dirk|25314|20|20
a thick black bullwhip|25318|3|3
a burbling spring|25337|1|1
a silver-tipped wand|25341|2|2
a fingerbone key|25361|1|1
a large black pearl|25363|1|1
an embroidered lavender apron|25365|2|2
a short gnarled staff|25367|2|2
the At'hiwyyoeltai|25370|1|1
a bear-claw talisman|25372|2|2
a white-bladed throwing knife|25373|100|100
a sturdy cot|25377|3|3
the leviacaster|25389|1|1
a barbed hand-hook|25400|1|1
a runed driftwood staff|25410|2|2
a massive, flanged lead mace|25411|1|1
an etched card of polished steel|25429|2|2
a falchion with a pearl-studded crossguard|25524|1|1
a gossamer white half-cloak|25525|1|1
silver-plated sabatons|25526|2|2
silver-plated greaves|25527|2|2
a silver-plated cuirass|25528|2|2
silver-plated vambraces|25529|2|2
a silver-plated, bevored helm|25530|2|2
silver-plated gauntlets|25531|2|2
a gossamer white tabard|25532|1|1
a golden mail vest|25533|2|2
a golden mail coif|25534|2|2
a golden mail skirt|25535|2|2
golden mail gauntlets|25536|2|2
golden mail sleeves|25537|2|2
white leather boots with golden tassels|25538|2|2
a falchion with a diamond-studded crossguard|25539|1|1
the Galesphere|25600|1|1
a djinni's silver armband|25603|5|5
the Windshroud of Dullaek Pak|25604|1|1
a sylph's diadem|25607|2|2
a mist imp's belt|25608|2|2
the Scroll of Dullaek Pak|25609|1|1
a wand of electrical protection|25614|10|10
the Harp of Elanthe|26090|1|1
a brass nightingale|26648|20|20
a brass nightingale|26649|20|20
a vial of icy-blue fluid|26670|50|50
a golden wedding ring|26692|100|100
a silver music box|26694|500|500
a ream of Harrudim silk|26697|3|3
a case of Kohli perfumes|26699|3|3
a silver music box|26703|500|500
